Tag,Question,Answer,Updated date,Answer provided by,Expiration Date
,"Technology Center: Describe the capability of your Company in terms of being able to accomplish technology evaluations and R&D. Describe the nature and capabilities of your technology center(s) or access to 3rd party facilities such as technology centers of educational establishments. Communicate the location(s), number of people, and yearly budget for these centers. ","FactSet invests a substantial amount of capital and operational resources into R&D – with over 1,300 engineers, FactSet is a technology/software organization that has extensive footprint in the analytical, big data, hosting, processing and financial technology spaces.",,,
,The solution provides pre-configured workflow steps for the full lifecycle,"FactSet's application and portfolio services workflow is suited for the investment management industry.  FactSet's data integration, calculation, and reporting engines, deliver a holistic approach, workflow, and user interface.",,,
,Was your ALM software built for the insurance Industry? For how long has it been used by an insurance company? For how long has it been used by a life insurance company?,"The software was built to meet the reporting needs of valuation actuaries using insurance software such as Moses or Alfa
It has been used in one form or another since 1998. 
",,,
,workstation technology requirements ,check the latest posted in the TOG,,,
,"Workstations # of devices   

",Internally FactSet has several thousand employee workstations,,,
,Year of First Product Release:,FactSet has been providing computer based financial analysis since inception in 1978.,,,
,"Explain your system’s capabilities for downloading data to client’s database(s). 
A. What file formats are currently supported?
","Output and reports are available in the following formats:
• Manual export: Excel and field delimited text
• Batcher output: Excel, HTML, field delimited text
• Publisher output: PDF, PowerPoint, Word or Excel, or field delimited text
• Webservice output: JSON, XML, field delimited text

FactSet also has a Datafeed Loader which can take in daily Standard Datafeed (Fundamentals, Estimates, Ownership, GeoRev , Symbology, etc.) as well as proprietary Analytics normalized and loaded directly into any SQL – Microsoft, Oracle, etc. – database with zero touch.",,,
,EAI / data integration tools ,"FactSet has team of individuals, best practices, guides and turnkey solutions for data loading. ",,,
,Direct database connectivity (SQL),"FactSet interfaces via industry-standard csv and txt files.  Any third party system which supports exporting and importing such data files is compatible with FactSet.  FactSet also offers DataFeeds of Standard Commercial Content, as well as Analytics that are schema-managed, normalized and loaded directly into any relational (SQL) datastore using the FactSet DataFeed Loader helper app.
",,,
,,"FactSet can transform raw, commercial & derived analytical data to be ingested into any commercial or bespoke system.",,,
,Supports Service Oriented Architecture ,Secure webservice endpoints are available to extract fundamental commercial and derived analytical content.,,,
,Supports clustered environment ," FactSet has no local equipment or software deployed – since FactSet is SaaS for our calculation engines.  The only software needed is a client-side application for interactive viewing/manipulation of data, models, etc.",,,
,"J2EE Weblogic, J2EE Websphere, J2EE Oracle 9iAS, .NET, Web Server: Internet Information Server, Apache ","FactSet is a SaaS Provider, and all server side functionality lives in FactSet's datacenters and is maintained by FactSet engineers.",,,
,"Requires dedicated workstation, requires dedicated LAN, requires dedicated terminal","FactSet does not require dedicated anything – workstations, LAN, terminal, firewalls, network, storage, etc. ",,,
,"Offers a DBMS tie-in, offers DBMS-specific modules",FactSet can feed commercial content and derived analytics in a format than can be inserted into any database (SQL or NoSQL) solution.,,,
,"N-tier with thin client (describe functionality at each tier), N-tier with fat client (describe functionality at each tier)
","FactSet is a 3-tier system – only the application (Windows), or thin client (Citrix) or web browser (HTML/Javascript) needs to be used to access the full capabilities of our services.  Feeds of output (csv, xls, pdf, etc.) also available as part of production workflows.",,,
,"Allows for specific functionality, e.g. new security request,  to be exposed as services to external applications ",FactSet has a rich set of webservices for exposure of both transactions and data insertion/extraction.,,,
,Can consume web services ,"Depending on webservices, they can be woven into a production workflow.",,,
,,"FactSet’s Online Assist has extensive documentation on configurations, settings and assumption choices for all components of FactSet (Portfolio Analysis, Screening, Company Reports, etc.).   The user interface and back-end code does perform input data checking to ensure settings and settings combinations are valid.",,,
,How would describe the latency of your solution in terms of data delivery and display in the terminal?,"FactSet operates datacenters on the east coast of the United States as well as global collection of Points of Presence (POP) which have Content Delivery (CDN) capabilities as well as Local in-country Ticker Plants for the direct ingestion and delivery of real-time market data in-region.  FactSet’s points of presence in the Asia Pacific region include Sydney, Hong Kong & Tokyo.",,,
,,,,,
,"Are privileged accounts (e.g., system or security administrator) prohibited from being used to perform user-level tasks?",Policy prohibits the use of privileged accounts for normal user-level purposes. Domain authentication logs are sent to a SIEM and monitored for policy-violating activities.,,,
,Is a user's identity verified before communicating an initial/temporary password or initiating a password reset by an automated or manual process?,Users are presented their temporary credentials as part of an in-person orientation.  Their identities are verified prior to entering this process.,,,
,,FactSet uses random or complex passwords.,,,
,Are passwords/PINs sent to users utilizing a secure method (e.g. secure e-mail) and sent separately from other authentication information such as the user account?,Temporary passwords are communicated verbally and are required to be changed upon initial login.,,,
,Are users required to authenticate prior to changing their password?,Users must enter in the initial password and change it prior to accessing resources.,,,
,"In instances where a hardware token or smartcard is used to access an application or system, does the activation of the hardware token require a password that is a minimum of eight characters?",Tokens require a pin code that must be set prior to using the token.  This is done with and verified by support staff.,,,
,"In instances where a hardware token or smartcard is used to access an application or system, are the devices inventoried in a secure system that manages the lifecycle of the token or smartcard?",All tokens are centrally managed and assigned.,,,
,Are changes to firewall rules logged and do the logs identify the administrator performing the change and when the change occurred?,All changes are logged centrally and a summary of the changes made and the individual who made the change are emailed to managers.,,,
,"Are all devices (e.g., laptops, desktops) that remotely access the internal network required to have a personal firewall installed, active, and be unalterable by the user?",All FactSet-issued laptops are required to run centrally-controlled firewall.,,,
,"If Voice over Internet Protocol (VoIP) technology has been implemented, is traffic sent over public IP networks encrypted with a strong industry standard algorithm?",All voice communication are encrypted.,,,
,Is the data port on public access Voice over Internet Protocol (VoIP) phones disabled?,All public data connections are disabled.,,,
,,,,,
,"If PKI Certificates are used for externally facing websites, do the PKI Certificates use a fully qualified Domain Name for the Subject common name (CN) (e.g. CN=www.bankofamerica.com, wildcard certificates not in use)?",Some wildcard certificates are in use.  The main FactSet service does not use wildcard certificates.,,,
,"If voice-over-IP (VoIP) technologies are used, are the VoIP network segments physically or logically segregated from the internal network?",VoIP transmissions are handed using VoIP dedicated network devices.,,,
,Are unused network ports including VoIP systems deactivated or otherwise restricted to ensure unauthorized devices cannot be connected?,All ports are disabled and require an approved change control to enable and provision for use.,,,
,"Does the vendor have a process for determining Non-Permitted Technology (software and hardware, based on End of Life technologies that are unsupported by the original provider, with known unpatched vulnerabilities) and a clear migration path to remove those technologies?","Regular vulnerability scans are performed on the internal network.  Further, all assets are tracked and deprecated upon the end of useful life.",,,
,,FactSet notifies its clients of connection issues in the event these issues are client affecting.,,,
,Are all changes to our data subject to a formal change control process and are the changes communicated to the Bank prior to implementation?,FactSet does not make changes to <CLIENT NAME> data.,,,
,,Information about security controls are maintained in an internal portal leveraged by the FactSet Security Team.,,,
,"If internally developed applications (including web or mobile applications) are used for Bank of America services, are data input validation edit checks performed to ensure the integrity of the input data?",Inputs are validated prior to processing by data center systems.,,,
,Are all applications that contain Bank of America non-public data and vendor-managed/hosted outside Bank's environment registered within the Bank's enterprise system of record?,"N/A, FactSet doesn't maintain a list of systems specifically for use by individual clients as it is a multitenant environment.",,,
,Is there a security policy exception process that requires senior management approval?,Exceptions are documented and approved per FactSet's Risk Management program.,,,
,Are new policies and updates communicated to employees in a timely manner?,Communication about policy changes are distributed globally to all employees upon release.,,,
,How long are visitor logs at the datacenters retained,Hard copies of visitor logs at FactSet's datacenters are retained for a period of one year. The logs are subsequently backed up electronically and archived to the network drive. ,,,
,How often is the generator serviced and tested?,Periodic lubrication runs and quarterly load runs.  Preventive maintenance is performed on an annual basis.,,,
,How often is the alarm system serviced and tested.,All engine alarm points are continuously monitored. Some engine alarms are generated and verified during routine maintenance. ,,,
,,,,,
,What are the possibilities for secure interfacing,"All interactions with FactSet – interactive or batch – occur over an authenticated, encrypted TCP channel.",,,
,Describe your monitoring and ratings process,FactSet conducts weekly vulnerability scans and leverages the CVSS rating system to prioritize remediation amongst other risk based metrics.  FactSet also monitors several websites and services (e.g. SANS) for vulnerability disclosures and information.  FactSet is a member of FS-ISAC where we also monitor peer group reports of serious issues that may affect our environment.  ,,,
,"Discuss your primary sources of information and how information is obtained, including whether you compensate anyone outside your firm for information that contributes to your research services.","Currently, more than half of FactSet’s 8000+ employees are involved with content collection.  Additionally, there are hundreds of providers/suppliers of commercial content into the FactSet system.  Some of these providers have additional terms and conditions which can be referenced at http://www.factset.com/about/resources/thirdpartyterms.  ",,,
,"Does the system have an in production interface to Bloomberg for security master files, prices, benchmarks, etc.?  Please describe in detail.","FactSet can accept Bloomberg identifiers for assets – therefore can accept holdings / secmaster files for parsing and ingestion into our system.  All data loaded on behalf of a client is considered client-proprietary and therefore is only able to be used by the users of the firm that uploads the data – subject to further lockdown by a client administrator that uses File Manager to control user/group access to specific portfolios.  Our Client Data Integration Team works directly with our clients to ensure that nightly data loads occur and are monitored for process and data integrity – with live feedback through Control Center, FactSet’s operational web dashboard.",,,
,What is the long term commitment to the software platform?,Our software platform is the primary product our company produces.,,,
,Describe the capabilities of your system with regard to security and documentation of user settings and assumptions as well as modifications to input data for error tracking as well as internal/external audit and control purposes.,"We log the user settings and configuration for analytical runs and maintain a window of history for those runs.  The collection of settings is backed up, as all client data is backed up on a daily basis and kept for minimum for rolling 12 months. ",,,
,General description of software,"FactSet operates as a SaaS (Software as a Service) provider, and has a light-weight MSI installation that runs on some desktops for full interactive use.  Some users leverage just a browser, while others leverage the MSI.  The code running in our datacenters and global points of presence are upgraded weekly with enhancements, bug fixes as well as performance improvements.

",,,
,How often is code released?,FactSet  releases new code for the desktop (MSI) every 2-3 months.  Our OnlineComponents technology means that all user automatically get the new binaries even without administrative rights (see the FactSet Framework Overview.pdf at https://www.factset.com/files/download/files/pdf/FactSet_Framework_Overview.pdf). ,,,
,What is your Company’s stated policy to supporting operating system upgrades by the major operating system vendors (i.e. Microsoft)? ,"We support all Microsoft Windows and Office versions that are in the field and have not exceeded their EOL/EOS – Windows 7, 8, 8.1, 10, Server 2008R2, Server 2012/2012R2.",,,
,What is your normal (scheduled) product update cycle? How soon would we get updates?,Every new client-side code release is Early Adopter.  After 2-3 months that becomes General Release.  Entire firms or individuals can opt-in to Early Adopter as appropriate or needed – however 80+% of our client base stays on General Release.,,,
,"If an upgrade fails, what is your fallback or rollback strategy? ","Regarding a failed upgrade – our OnlineComponents handles that automatically and fallback occurs seamlessly.  We require our clients to re-package a new MSI (directly pushing using SCCM or via Group Policy with a .MST, etc.) about once every 18-24 months.  This is the only administrative action required on keeping our software up to date.",,,
,"FactSet via web
(Get signoff from someone before using)",The web version of FactSet at https://my.factset.com requires no plug-ins or install.  It is fully JavaScript/HTML.,,,
,"your solution’s interface for administration and configuration (e.g. web-based, command line, programmatic/API)","Administration occurs through a combination of the FactSet Application (Workstation) as well as a browser-based platform for access to daily production workflow metrics and results (Control Center, Issue Tracker, Portfolio Reconciliation).  There is no need for command-line interfacing with FactSet as production/batch cycles for engineered alongside the client and then monitored 24/7 by FactSet Portfolio Services staff.  Administration is very light and  can consist of occasional updates to security groupings and roles by a client-selected administrator, and a designated production operation contact that we can reach out to when there are issues with file uploads, security modelling files, coverage drops, data outliers, etc.",,,
,"Provide a breakout of clients by model delivery type. 
A. Provide the number of resources dedicated to each delivery type.
","19% of our 8,000+ employees conduct sales and consulting services.  From a technology perspective and a global client services perspective, we do not have hard lines of differentiation on the mechanism of delivery.  Workstation, Feeds, Webservices, etc. all hit core engineering and support resources.",,,
,Explain your system’s capabilities for integrating with cloud technology.,"FactSet can fully integrate the ingestion and delivery of content with clients directly or with systems they have hosted in the cloud (SaaS, PaaS, IaaS).   Bespoke systems hosted in AWS, Azure or Google Cloud – or third-party cloud providers can both be used to be a source of content for delivery to FactSet, or a receiver of finished analytics and commercial content for distribution and use by our clients for their internal workflows.  From a technical perspective, HTTPS and SFTP would be the transfer mechanisms from FactSet’s Private Cloud to our client’s Public/Hybrid Cloud providers.",,,
,Does the system support being deployed in our 3rd party managed Private Cloud?,"FactSet can be deployed in cloud environments running Windows 7, 8, 8.1, 10 or Server 2008R2, 2012, 2012R2.",,,
,"Detail how your solution supports archiving, reporting and inspection activities required for both internal and external authorities such as: (i) SEC 17a-4; (ii)

(This is not common, and is asking about a compliance solution and is different from our normal inquiries on SSAE16)","FactSet does not offer specific solutions that will assist our clients to compliance with SEC 17a-4.  As a vendor, FactSet complies with the best practices as defined in SSAE 16 but does not seek third-party attestation.  FactSet’s datacenters are in compliance with appropriate SSAE16/ISO27001 process controls.",,,
,"Does batch or nightly processing require exclusive access?

Can ""Batch"" and ""transaction processing"" coexist in the same environment?","No – interactive and batch can and do run concurrently.  Though there will be times that being in edit mode on a Master Security List will hold an exclusive lock and prevent batch updating.  If this occurs, our Portfolio Services staff will reach out to the user holding the lock or designated client support to remediate the issue.",,,
,Can we run core system functions from the command line?,Certain functions can be called through webservices which may be instantiated through command-line functions (CURL or WGET for example).,,,
,"If we delete a User ID, do we lose the audit history for that individual? If not, does the ID change to a SID?","FactSet maintains active serials’ logs on our system for 60 days, and our tape backups will keep that data for up to a year more as we roll through our daily/weekly/month cycles.  Cancelled serials (IDs) logs are not kept in perpetuity.",,,
,List ALL areas where you believe the audit functionality could use improvement,"FactSet continues to invest resources into working with our clients to understand regulatory, compliance and internal process-control needs in order to deliver the appropriate level of audit functionality for user-based data changes, indicative vs. official content, process change management and production logging.",,,
,What is your company’s infrastructure lifecycle management methodology and philosophy?  Include any relevant details around an upgrade or patch scenario.,"With over 1,200 engineers – FactSet is continually and rapidly evolving infrastructure for performance, speed, and functionality.   With isolated production, staging and development infrastructures – FactSet ensures separation of production work from non-production work.  100% uptime and consistent performance is the prime mandate of production.  With two live, hot datacenters each running at 40% of capacity or less, the loss of single datacenter for planned (core network, SAN, etc.) maintenance or unplanned outages is not intended to impact our ability to deliver on interactive and batch production cycles.

New technology deployment paradigms include a gradual parallel approach – deploy new technology, enable in shadow mode and machine compare with existing primary, shadow and machine compare with new primary, new primary only with existing in standby, decommission existing.
",,,
,What are your minimum requirements for a business support representative in your firm? Please provide a representative bio. , http://www.factset.com/careers/careers/sales_consulting,,,
,What are your minimum requirements for a technical support representative in your firm? Please provide a representative bio. ,"Minimums range from Bachelors/Associates through to PhD depending on position.  Please see various Job Descriptions for a sampling of engineering/technical requirements – from Technology Solutions to Datafeed support, to Network, Performance and Content specialists - https://factset.tms.hrdepartment.com/cgi-bin/a/searchjobs_quick.cgi ",,,
,"Granting of emergency IDs are documented, approved, and terminated when no longer needed.  Firecall",FactSet does not use emergency IDs.,,,
,Unauthorized access warnings are used prior to login of equipment,Yes,,,
,Are there any direct database connections permitted from computers other than the application servers? i.e. tcp 1433 for sql,No,,,
,Are URL based or Hidden Post fields used for session IDs?,No,,,
,,,,,
,,,,,
,Do any accounts have system-wide privileges for the entire application?,Only a small set of system administrators have accounts with system-wide privileges.  All other accounts adhere to least privilege and need to know.,,,
,SaaS maturity level,"Level 4 – Scalable, Configurable, Multi-tenant, Efficient",,,
,Secure email communication,"Controls to detect the movement of tagged client data via email are currently in place.  FactSet's Security Operations and Security Infrastructure teams are notified of policy violations involving client data via email alerts and paging of oncall engineers for immediate response.

--
Add on as needed:
FactSet's email systems are configured to prevent the auto-forwarding of email to external domains.  ",,,
,How many iterations of SHA are used for the hash file? Is it salted?,"The hash file is salted and is a single iteration SHA256 hash of the salt and other dynamic values to generate a unique value upon each subsequent successful login.  This is not the hash of a credential, but is itself a part of the credentials used to validate access to the FactSet service.",,,
,"Public certificate authority (this covers *.factset.com)

FYI, anyone can look and figure this out on our HTTPS websites or application files",Symantec,,,
,Are any ad hoc security searches performed on staff to determine if any there is any unauthorized removal of information assets?,FactSet's datacenters are equipped with sensors that perform this type of analysis for all visitors entering and leaving the building.,,,
,"How do employees access client data?

Why we don't have two factor authentication to access client data.  ","Employees must first go through an additional separate authentication process in order to access systems that house client data. FactSet has a non-persistent, single-use virtualized sandbox environment for each session when accessing client data.  That access is called ‘morph’.  The ability to access the morph environment is based on scripted role-based access controls (RBAC) policies. Access to client data by client-facing Consulting and Engineering personnel is strictly timed and monitored.  Access is logged and alerting is in place to detect violations. Accesses to client data are transparent and presented via Access Audit in Control Center.",,,
,,,,,
,,,,,
,"Describe the firm’s ability to support common data communication protocols such as SWIFT messaging, FTP file transfers, etc. ","FactSet does not support SWIFT messaging.  FactSet’s Portware EMS has full support for the FIX protocol.  FactSet interfaces with virtually any custodial and accounting system which output industry standard txt and csv files.  Any third party system which supports exporting and importing such data files is compatible with FactSet.  FactSet Client Data Integration Specialists offer a full-service approach to create one-time historical backfill jobs to prime data in our databases.  The ongoing daily upload of incremental content will be setup and scheduled to occur automatically.  FactSet has loaded data in from hundreds of commercial and bespoke systems.  For file transfers, FactSet recommends SFTP, and supports key and/or password authentication.  FactSet also supports FTP.",,,
,"Leap Second for December 31, 2016","FactSet has not experienced any issues during previous leap seconds.  To ensure that is also the case for the December 31, 2016 leap second, FactSet’s software engineers have been and will continue to run simulations of the various leap second methods to ensure that no issues will be experienced by the FactSet Workstation.",,,
,,"Upon initial login the user is prompted to enter their factset.net ID.  FactSet Autovalidate then sends a unique one-time passkey to the user's corporate email address on file with FactSet, which they must enter to gain access.  After initial login, FactSet leverages a multi-factor authentication system which includes group static tokens coupled with a unique serial number or factset.net ID and a dynamic token.  The dynamic token is a SHA256 hash and is updated upon each login.",,,
,"Ability to configure system resources, timeout values, etc.",FactSet is a SaaS and clients aren’t required to configure system parameters.,,,
,System ability to take note of local time zone values date / time,"FactSet manages time zone conversion within the FactSet application and reports with the exception of some Portfolio Analysis, Screening, and database files.  ",,,
,Log retention,Log files have a fixed retention period which varies based on the sub-application or system performing the logon.,,,
,What tools are available for manipulation of data outside of the controls of the application systems and how is access controlled and monitored?  Who has access to these tools and for what purpose?,"Clients can upload and download data via FTP/SFTP.  Specifically provisioned users or machines can access data via Excel, through webservices (programmatically via C#, Java, Python, etc., or via Matlab and R).  Key and/or password based authentication for SFTP is supported.  Appropriate FactSet support staff and systems administrators have access to these systems.  Access is monitored and logged.",,,
,How vulnerable would we be to fluctuations in business volumes for other organizations sharing these facilities?,Your firm would be unaffected as our systems are designed to handle multiples of current volumes.,,,
,"Are any infrastructure components (hardware, software, or communications) no longer supported by the manufacturer?  What plans are there to move from any unsupported components?",No,,,
,Control Center / Access Audit Logs time period,"Control Center offers 7 days log history.  

There are no current plans to make the Control Center period configurable.",,,
,," in general, we take any action items from such exercises and apply them appropriately.",,,
,Is each release subject to a full secure code review?,Each major release is subject to a full secure code review.  Minor releases receive a security scan as part of the QA process.,,,
,"Are compilers, editors or other development tools present in the production environment?","Yes, production systems have the following:
Editors such as VI, VIM, or EMACs
Compilers such as GNU Compiler Collection (GCC)
Additional tools such as rakefds that enable developers to attach to a client session for debug purposes

These tools are available for client support to debug production issues.",,,
,Is there an employee whistle-blower hotline to report breaches?,Yes,,,
,Software/hardware acquisition procedures,"Procedures are in place to handle the acquisition of new software / hardware.  This includes a vendor risk review, and contract review, and open source licensing review process.",,,
,"Do we have honey pots in place? 
Honeypot",Yes,,,
,,As part of FactSet's QA Process changes must be reviewed and promoted to the test environment for QA analysis. ,,,
,,Corporate physical security is managed by Facilities.  Datacenter physical security is managed by our datacenter provider with oversight by our director of Operations. ,,,
,How is performance per client safeguarded?’,FactSet’s architecture sets boundaries and quality of service thresholds.,,,
,How does the application manage concurrency?,FactSet deals with all necessary locking & concurrency within the datacenter.,,,
,third party integrators ,"FactSet does not use third party integrators for deployment.  FactSet’s Implementation Team will handle the full project management, deployment, training and configuration of our product to meet the needs of your organization using professional tools and principles of client engagement and service.",,,
,Entry logs - OFFICES (not datacenters),Entry logs are retained for 90 days and reviewed on an as needed basis.  Recordings from video surveillance systems are retained for 90 days.,,,
,Software inventory,updated daily,,,
,"Datacenter provider

NOTE: can be given to existing buy-side clients.  Do not give out to consultants or corporations.  Do not put names of datacenter providers in RPDs!",Dupont Fabros and QTS are our Primary Datacenter private facility providers.,,,
,what source mail-address spoofing check/verification is available?,SPF,,,
,How are hardware and software  End-of-Life issues addressed,"FactSet rotates out EOL commercial hardware/appliance and COTS software through direct replacements, technology transitions to new architectures and software upgrades to supported roadmaps.",,,
,Describe the system,"FactSet operates as a SaaS (Software as a Service) provider.  FactSet uses an installed front end (single MSI) to display data and integrate with Microsoft Office for full interactive use.  All analytics processing is performed and content originates from the datacenter.  The desktop client’s primary purpose is to render HTML content, control windowing for multi-monitor situations, and interface with Microsoft Office.  FactSet also offers full interactive use via a browser through FactSet Connect (Citrix via HTTPS).  In addition, users have the option to leverage our web-based solution via FactSet Web (https://my.factset.com).  FactSet also offers native clients for Android, iPhone, and iPad.  The code running in our datacenters and global points of presence are upgraded weekly with enhancements, bug fixes as well as performance improvements.  For dataflows, please refer to page 9 of the FactSet Technology Overview Guide (http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf).
",,,
,Record and report which kind of changes the FactSet installation will do for pc:s operating system ,FactSet uses a single MSI to install the FactSet client software.  Please see page 6 of the FactSet Installation Guide for a listing of folders created https://www.factset.com/files/download/files/pdf/FactSet_Installation_Guide.pdf.  This will also install add-ins within Microsoft Office so that users can leverage FactSet’s Office Integration features.    ,,,
,"What kind of data is sent from the pc to the FactSet Cloud Server. Is it only the exact Excel Model file  which is sent out, if the FactSet user  want to use in their FactSet Cloud profile?","FactSet is a SaaS and virtually all settings, data, formulas and preferences are stored within FactSet’s data centers.  MS Office documents and Excel models are usually the only document types that remain on the local PC or client network drive.    When Excel or Word or PowerPoint codes are updated, just the codes are sent to FactSet and then the responses to those formulas are sent back.",,,
,,"Our own datacenters means we have long-term leases on dedicated, private space within purpose-built datacenter facilities - with dedicated (non-shared) meet-me facilities, carrier infrastructure, compute facilities, etc.  All compute, storage, network in FactSet's primary datacenters  (Reston, VA + Piscataway, NJ) is fully managed by FactSet staff.  Our regional datacenters in the US, Europe and Asia tend to be colocations within cages of various colocation providers.",,,
,Please confirm how you ensure compliance with software licensing requirements.,FactSet uses Microsoft SCCM.,,,
,Administrative credential tracking,Administrative credentials are controlled in an admin domain separate from regular user credentials.  Please also see above response for how credentials are assigned.,,,
,Allows for specific functions to be exposed as services  to external applications,"Yes – FactSet’s system is built to deliver FactSet content, research, and analytics both into our own products – workstation, mobile, web – as well as our client’s own production and interactive application ecosystem. 
Please also see https://www.factset.com/about/channel_partners",,,
,Session tokens should renew after users' successful authentication at a set frequency,FactSet does not rotate a session token during an active session.,,,
,Are there vermin and pest controls in the facilities where bank information is managed/stored?,Pest control companies are brought in to lay down traps inside and monitor for deer and other animals outside.  ,,,
,Is equipment identification used to authenticate connections from specific locations and equipment?,"No.  FactSet uses a multi-layer authentication mechanism for access to production and corporate devices, which includes 2FA and source IP restrictions.",,,
,Are you firewalls ICSA certified with a certification type of “Corporate” or “Enterprise”. ,"FactSet uses Cisco ASAs, which are EAL4+ certified.

(same answer is true for Portware, but not for EH which uses different firewalls)",,,
,What activities/functions need to be maintained in order to deliver a minimum acceptable service in order to preserve the business?,"The FactSet service is designed to be highly fault tolerant and requires no manual involvement for delivery to clients.  FactSet's engineering and support personnel are distributed across various geographic locations, which ensures continued development and support of the service in the event of a major incident.",,,
,,All risk exceptions are documented and approved following FactSet's Risk Management process.,,,
,If the application sends electronic files to clients or external contact are they scanned for viruses and other malicious code before leaving the environment?,The primary method of file generation is via a Microsoft Add-in installed on the local PC that is used to retrieve information from FactSet to populate Microsoft Office documents that are generated on the local PC.  Other forms of document generation are performed by automated batch processes where output files containing the same information fed from flat files are retrieved via SFTP.  No virus scanning is performed on this fully automated process.,,,
,,FactSet has procedures in place that are followed when deploying new network devices.  Default passwords are changed and corporate standard configs are deployed.  Devices must undergo a change control process to be added to the network.  Firewall rules are reviewed as needed.  IDS/IPS function as described.  Central logging is in place.,,,
,,"Please contact your account team, who can route any questions to the correct individuals.",,,
,,"FactSet does not seek client approval before our weekly code release cycles – all code is run through a four-stage development promotion cycle with extensive regression, functional and performance QA.",,,
,,,,,
,"Is two factor authentication in use within the organization? If yes, where and why?",Yes.  2FA is in use throughout the organization.  This includes access to the FactSet application as well as internal administrative access to production systems.,1/30/2018,JMD,
,Please describe a situation where security concerns have delayed a software or application release .,"FactSet’s Security Assurance Group prevents release of applications, architecture changes and change controls that do not meet SSDLC standards, or that fail to pass OSSAP design flaw testing.",1/30/2018,JMD,
,Audit reports for PA,"FactSet as an entity does not typically conduct third-party audits of our enrichment (analytics such characteristics, attribution, performance, risk) engines and application delivery.  However, clients who subscribe to Portfolio Services have both transparent Process Integrity and Data Reconciliation enabled for data loaded into the system from Accounting Systems, OMSes, etc.  Outliers and Errors are tracked and remediated, and the SLA for Portfolio Services drives the finish time of the overnight production process.  See https://www.factset.com/data/portfolio-services for more insight.",1/25/2018,JMD,
,How does the Cloud Service Provider facilitate the migration of 3rd party solution to their respective cloud platform?,"FactSet has a deliberate assessment / sales engineering process to enumerate data sources, applications and workflows and then builds Blueprints, Architecture Diagrams, Data Integration & Delivery Diagrams, and Statements of Work for a parallel migration into our hosting/cloud infrastructure.  

At this point in time, FactSet offers FactSet application stack hosting in our cloud with tight integration with third-party applications hosted on-premise at client site, or in third-party clouds.
",2/22/2018,JMD,
,"  - The data format used and the data export functionality required for migration.
  - early termination requirements (e.g. availability and cost of data export at the point of early termination)
","FactSet integrates and produces data in any form required by our clients in a flexible fashion.  We have standard guides on fields required from IBOR/ABOR/Accounting/OMS/Custodial systems in order to perform analytics on each asset class.  Parser Guides, and professional assistance from our Client Data Integration Team is available.
FactSet can export data for our clients to consume at any time.

",2/22/2018,JMD,
,will Client continue to have access to any particular Intellectual Property (e.g. software) of the Cloud Service Provider post-termination,"As on online SaaS solution, there is no FactSet IP/software that would be meaningfully useful post-termination of relationship.",2/22/2018,JMD,
,ensuring that the Cloud Service Provider does not have and cannot create any lien or encumbrance over our data.,FactSet does not hold any leverage upon our clients’ data – which remains their asset residing on our system.,2/22/2018,JMD,
,"If the Cloud Service Provider is required to interact with existing <our company's> software, etc. do existing licences allow for such interaction.","If your firm is leveraging raw FactSet content (datafeeds, benchmarks, real-time data, commercial content) to deliver to third-party systems, then appropriate licensing / commercials for that specific system and use-case must be in place.",2/22/2018,JMD,
,Any restrictions on delegating use to a third party service provider without consent.,"Delegation of use of FactSet interactive endpoints (terminal, web, mobile, webservices) of content on behalf of your firm to a third-party must be discussed as part of commercials.",2/22/2018,JMD,
,Do you block or track outbound file transfer protocols (FTP) or ports from staff desktops and laptops?,"Yes, logged and audited.",3/5/2018,LCW,
"framework , persistent framework",Do you use a persistence framework? Which ?,"FactSet software fully supports all flavors of persistent and non-persistent multi-user/VDI environments such as Citrix XenApp, Citrix XenDesktop, VMWare View/Horizon, and Microsoft RDS (Terminal Services).

For software compatibility, please refer to the FactSet Framework Overview at https://www.factset.com/files/download/files/pdf/FactSet_Framework_Overview.pdf",,,
"framework , persistent framework",How is the session of the system persisted?,"Persistence of sessions is handled within the installed applications themselves (workstation, iOS + Android), or via in-memory cookies for web sessions.",3/5/2018,JMD,
"framework , persistent framework",Is the context retained after each event?,Yes ,,,
cookie,"If cookies are created, how are they being stored?",In memory.,3/5/2018,JMD,
cookie,"If cookie based session IDs are used, are they persistent?",No,,,
cookie,Is cookie data encrypted?,Yes,,,
cookie,Is the use of cookies compliant with the European Union's data protection directives?,"FactSet leverages a multi-factor authentication system which includes group static tokens coupled with a unique serial number or factset.net ID and a dynamic token.  The dynamic token is a SHA256 hash.  The token is dynamically updated upon each login.  FactSet is not a website, however, there are web components that use cookies for the purpose of authenticating access to FactSet.  Cookies are not used for tracking or storage of personal information.  FactSet utilizes rotating dynamic key authentication along with binary end points managing session control within the workstation.  ",,,
cookie,"Does the asset use cookies or similar technology for monitoring, recording or tracking user activity within a system or creates profiles which can be linked to an identifiable individual?","FactSet leverages cookies for authentication purposes only within the FactSet web environment.
",,,
Extended Validation (EV),Does the website provide Extended validation (EV) certificates for identification?,FactSet provides EV cookies that allow 1FA authentication for machines that have previously 2FA authenticated for a period of time (default one week for High Trust Source IPs) as defined by the security administrator of the firm.,,,
,,,,,
,,,,,
